등급,코스트,책장/주사위,,,특수효과,
,,관통,3,9,적중,화상 1 부여
보급,0,풀뜯기,,,사용시,빛 1 회복. 충전 3을 얻음
,,방어,3,7,,
,,관통,3,4,,
고급,0,불길한 힘,,,장착,빛 3 회복. 빛을 회복한 만큼 다음 막에 빛 감소.
,,,,,,
한정,0,의지의 검,,,,이 책장의 비용은 자신의 최대 빛과 같아진다.
,,,,,사용시,이 책장의 모든 주사위의 위력이 감정 단계만큼 증가. 빛 모두 회복.
,,타격,3,7,,
,,참격,3,7,,
,,관통,2,5,,
보급,0,틈새 공격,,,사용시,다음 막에 신속 1을 얻음
,,방어,4,6,,
,,관통,3,8,합 승리,다음 막에 속박 1 부여
보급,0,하르페,,,,
,,타격,1,2,,
,,타격,2,7,적중,보호 1을 얻음
보급,0,맞바꾸기,,,,이 책장을 버리면 책장을 1장 뽑음
,,타격,3,6,적중,다음 막에 마비 1 부여
,,참격,3,5,,
보급,0,시범 사용,,,사용시,연기 3을 얻음
,,타격,2,6,,
,,참격,2,3,,
보급,0,쐐기 찌르기,,,사용시,빛 1 회복
,,관통,3,6,,
,,관통,1,3,적중,다음 막에 취약 1 부여
고급,1,짓이기기,,,,
,,참격,3,6,적중,다음 막에 출혈 1 부여
,,참격,3,5,적중,다음 막에 출혈 1 부여
,,방어,3,7,,
고급,1,몰아치기,,,전투 시작,이번 막 동안 모든 공격 주사위 피해량+1
,,타격,3,7,,대상의 현재 수비 주사위 위력 -2
,,관통,3,7,적중,화상 1 부여
보급,1,올려차기,,, ,
,,타격,5,10,적중,책장을 1장 뽑음
고급,1,전면전,,,사용시,긍정 감정 1 누적
,,방어,4,9,,
,,참격,4,8,,
보급,1,철의 방어,,, ,
,,방어,3,8, , 
,,방어,3,7,,
,,참격,2,5,,
보급,1,계급과 존중,,,사용시,빛 2 회복
,,참격,4,8,적중,다음 막에 출혈 2 부여
보급,1,에너지 방패,,,사용시,충전 3을 얻음
,,방어,3,4,합 패배,충전 1을 얻음
,,방어,3,7,,
,,관통,3,5,,
보급,1,에너지 전환,,,사용시,충전 4를 소모하여 빛 3 회복
,,타격,3,7,적중,책장을 1장 뽑음
,,참격,2,5,,
보급,1,톱니가 이끄는 대로,,,사용시,연기 2를 얻음. 빛 2 회복
,,방어,3,7,,
,,관통,4,6,,
보급,1,다중 베기,,,사용시,책장을 1장 뽑는다. '유일' 상태라면 빛 2 회복
,,참격,3,7,,
,,타격,1,4,,
보급,1,격렬한 불꽃,,,전투 시작,"이번 막 동안 전투 책장으로 화상을 부여할 때, 부여하는 화상 수치 +1"
,,참격,3,8,적중,화상 1 부여
,,관통,3,7,,
한정,1,복제,,,사용시,손에서 원래 비용이 가장 높은 책장 하나와 동일한 책장을 손에 추가한다. 
,,,,,,이 책장은 사용 후에 소멸한다.
,,방어,2,7,,
,,참격,2,5,,
보급,1,사검술,,,사용시,책장을 1장 뽑음
,,참격,3,6,,
,,참격,2,4,,
보급,1,뱀의 표적,,,전투 시작,"이번 막 동안 전투 책장으로 출혈을 부여할 때, 부여하는 출혈 수치 +1"
,,관통,3,5,,
,,관통,3,7,적중,다음 막에 출혈 1 부여
보급,1,단검술 찌르기,,,사용시,다음 막에 신속 2을 얻음
,,관통,2,7,,
,,방어,4,6,,
,,관통,3,7,적중,다음 막에 속박 1 부여
고급,1,페인트,,,,
,,참격,2,7,,
,,타격,3,7,,
,,관통,3,7,적중,다음 막에 속박 1 부여
고급,1,모래 베기,,,,
,,방어,4,9,,
,,참격,3,9,합 승리,보호 1을 얻음
고급,1,모래 타격,,,,
,,타격,4,8,합 승리,다음 막에 인내 1을 얻음
,,방어,4,8,,
보급,1,보험 보상,,,,이 책장을 버리면 빛 1을 회복한다.
,,참격,3,8,,
,,타격,3,7,적중,다음 막에 마비 1 부여
보급,1,연기 타격,,,사용시,연기 3을 얻음
,,방어,4,8,,
,,타격,5,8,적중,"빛 1 회복, 연기 3 부여"
고급,1,연기 강타,,,사용시,"자신에게 연기가 9 이상 있다면, 이 책장의 모든 주사위 위력 +2"
,,회피,4,8,,
,,참격,6,9,적중,연기 2 부여
보급,1,가로지르기,,,,
,,방어,4,8,,
,,참격,4,6,적중,다음 막에 마비 1 부여
고급,1,완벽한 타격,,,,
,,방어,4,8,,
,,타격,5,7,적중,다음 막에 취약 2 부여
한정,2,쑤셔넣기,,,사용시,책장을 1장 뽑음
,,관통,7,12,합 승리,다음 막에 출혈 3 부여
한정,2,내면의 열혈,,,사용시,긍정 감정 1 누적
,,방어,4,9,,
,,참격,6,10,,
고급,2,검의 흐름,,,,감정 단계가 3 이상일 경우 이 책장의 비용 -1
,,참격,4,8,적중,화상 2 부여
,,참격,3,8,적중,화상 1 부여
보급,2,속검,,,,
,,회피,2,6,,
,,관통,4,8,적중,다음 막에 신속 1을 얻음
,,관통,3,8,적중,다음 막에 신속 1을 얻음
한정,2,질풍각,,,,
,,관통,7,13,적중,책장을 1장 뽑음
,,관통',2,6,,
고급,2,철벽,,,사용시,다음 막에 인내 1을 얻음. 감정 단계가 3 이상이면 대신 2를 얻음
,,방어,5,8,,
,,방어,4,8,,
,,관통,2,6,,
고급,2,강철 너클,,,사용시,책장을 1장 뽑음
,,타격,4,8,,
,,타격,3,7,,
,,참격',2,6,,
보급,2,충격 흡수,,,사용시,충전 6을 얻음
,,방어,7,9,,
,,참격,5,8,,
고급,2,기회입니다!,,,사용시,충전 5를 얻음
,,회피,2,9,합 승리,충전 2를 얻음
,,방어,3,7,,
,,타격,4,7,,
한정,2,준비합시다!,,,사용시,충전 2를 소모하여 모든 아군에게 이번 막과 다음 막에 보호 1 부여
,,방어,4,8,,
,,관통,5,8,,
,,회피,3,8,,
보급,2,방어 명령,,,사용시,연기 4를 얻음
,,방어,7,10,,
,,참격,4,8,,
고급,2,자동 돌격,,,사용시,연기 2를 얻음
,,참격,5,9,적중,연기 2 부여
,,관통,3,7,,
고급,2,기습 명령,,,사용시,대상에게 연기가 2 이상 있다면 이 책장의 모든 주사위의 위력 +1
,,회피,2,6,,
,,관통,4,8,,
,,참격,3,8,,
고급,2,엄숙한 대행,,,,
,,방어,3,7,,
,,관통,3,5,,유일' 상태라면 위력 +4
,,관통,3,7,,
고급,2,사슬 묶기,,,합 시작시,유일' 상태라면 대상 책장의 모든 주사위 위력 -1
,,타격,4,8,합 승리,유일' 상태라면 대상의 다음 주사위 위력 -2
,,관통,3,8,,
한정,2,화염일섬,,,사용시,손에 '화염일섬'이 있다면 그 책장 1장을 버리고 책장을 1장 뽑는다. 
,,,,,,그리고 그 책장의 공격 주사위를 추가한다.
,,참격,6,10,적중,화상 1 부여
고급,2,집중 사격,,,원거리,일회성
,,,,,사용시,속도가 6 이상이면 이 책장의 모든 주사위 위력 +1
,,관통,6,8,,
,,관통,5,7,,
,,방어,3,7,,
보급,2,에너지 강타,,,사용시,자신에게 흐트러짐 피해 4
,,방어,4,7,,
,,타격,4,8,,
,,참격,4,8,적중,충전 3을 소모하여 대상에게 흐트러짐 피해 8
고급,2,육중한 충돌,,,사용시,충전 5을 얻음
,,방어,4,7,,
,,타격,6,12,,
보급,2,신속한 제압,,,사용시,충전 5를 얻음
,,회피,3,8,,
,,타격,4,8,적중,다음 막에 출혈 2 부여
,,참격,3,8,적중,다음 막에 출혈 1 부여
고급,2,뱀 가르기,,,전투 시작,이번 막 동안 참격 위력 +2
,,참격,2,4,적중,다음 막에 출혈 1 부여
,,참격,2,4,,
,,회피,4,8,,
한정,2,독니,,,,
,,관통,4,8,적중,다음 막에 출혈 3 부여
,,관통,3,7,적중,다음 막과 2막 후에 취약 1 부여
,,방어,3,8,,
보급,2,내려찍기,,,,
,,타격,8,13,적중,흐트러짐 저항 3 회복
,,방어,5,6,,
보급,2,거대한 뱀의 충격,,,전투 시작,이번 막 동안 타격으로 공격 적중 시 대상에게 흐트러짐 피해 2
,,방어,2,6,,
,,타격,5,7,적중,흐트러짐 저항 3 회복
,,타격,3,6,,
보급,2,흘려보내기,,,,이 책장은 반격 이외의 주사위가 없기 때문에 행동하지 않는다.
,,회피',4,10,,
,,타격',3,7,,
보급,2,초도,,,,이 책장은 반격 이외의 주사위가 없기 때문에 행동하지 않는다.
,,방어',6,9,,
,,참격',3,8,적중,화상 1 부여
고급,2,비희,,,,
,,참격,7,10,적중,다음 막에 힘 2를 얻음
,,방어,4,8,,
보급,2,화룡참,,,,
,,참격,5,8,적중,화상 2 부여
,,관통,3,7,,
,,방어,4,7,,
,,참격',3,7,적중,화상 1 부여
보급,2,도시의 의지,,,사용시,빛 3 회복. 책장을 1장 뽑음
,,방어,3,7,,
,,참격,3,7,,
고급,2,기회 잡기,,,사용시,다음 막에 인내 2를 얻음
,,방어,3,7,,
,,방어,3,7,,
,,관통,3,8,적중,다음 막에 속박 1 부여
한정,2,후루시야,,,,
,,방어,5,8,,
,,타격,3,7,합 승리,다음 막에 인내 2를 얻음
,,방어,3,7,,
한정,2,자마다르,,,,"방어 주사위가 최대값이 나올 경우, 관통 주사위(4~5)가 추가된다"
,,관통,4,8,,
,,방어,2,9,,
,,관통,3,8,,
고급,2,등가 교환,,,사용시,손에 있는 무작위 책장 1장을 버림. 빛 1 회복
,,회피,4,7,,
,,타격,4,8,합 승리,다음 막에 출혈 2 부여
,,타격,3,8,적중,다음 막에 출혈 2 부여
한정,2,연기 찌르기,,,사용시,연기 2를 얻음
,,방어,3,7,,
,,타격,3,8,적중,연기 3 부여
,,관통,4,8,적중,"연기 2 부여, 연기 1을 얻음"
고급,2,밀어내기,,,,
,,타격,4,7,,
,,방어,4,8,,
,,관통,4,8,적중,다음 막에 취약 2 부여
한정,2,휘둘러치기,,,,
,,참격,3,8,,
,,타격,4,8,적중,다음 막에 마비 1 부여
,,회피,4,8,,
한정,3,절묘한 순간,,,사용시,책장을 1장 뽑음
,,회피,3,6,,
,,참격,7,15,합 승리,다음 막에 출혈 3 부여
예술,3,감정의 격동,,,사용시,감정 단계 2마다 이 책장의 모든 주사위 위력 +1
,,방어,4,8, , 
,,관통,5,9,적중,화상 2 부여
,,참격,4,9,적중,화상 1 부여
,,방어',3,7,,
고급,3,견고한 수비,,,사용시,책장을 1장 뽑음
,,회피,3,10,,
,,방어,8,17,합 승리,책장을 1장 뽑음
,,관통,3,6,적중,화상 2 부여
예술,3,규율,,,사용시,다음 막 동안 모든 아군의 공격 주사위 피해량 +2
,,관통,5,11,,
,,참격,5,10,,
,,방어',3,8,,
한정,3,증기,,,사용시,"연기 4을 얻음, 책장을 1장 뽑음"
,,참격,9,19,적중,연기 3 부여
한정,3,섬멸,,,사용시,대상 처치 시 모든 아군에게 다음 막에 힘 1 부여
,,참격,5,10,,대상의 체력이 50% 이하라면 위력 +1
,,참격,5,10,,대상의 체력이 50% 이하라면 위력 +1
고급,3,불꽃의 윤무,,, ,
,,회피,5,9, , 
,,참격,6,9,적중,대상에게 화상이 4 이상 있다면 모든 적에게 화상 1 부여
,,타격,5,9,적중,대상에게 화상이 4 이상 있다면 모든 적에게 화상 1 부여
보급,3,일점 사격,,,원거리,일회성
,,,,,사용시,속도가 6 이상이면 이 책장의 모든 주사위 위력 +2
,,타격,8,21,적중,다음 막에 출혈 2 부여
고급,3,집중,,,사용시,충전 8을 얻음
,,방어,7,10,,
,,관통,4,8,,
,,참격,4,6,,
한정,3,자색검,,,,
,,참격,5,15,,이 주사위는 위력의 효과를 2배로 받는다
,,참격',3,7,,
고급,3,열상,,,,
,,관통,5,9,적중,다음 막과 2막 후에 출혈 3 부여
,,관통,5,8,적중,다음 막에 허약 1 부여
,,방어,6,8,,
,,관통',3,6,적중,다음 막에 출혈 2 부여
한정,3,결투,,,,
,,타격,8,17,합 승리,대상의 다음 주사위 위력 -2
,,방어,5,9,합 승리,대상의 다음 주사위 위력 -2
,,방어,4,8,합 승리,대상의 다음 주사위 위력 -2
,,타격',3,7,,
고급,3,뱀의 장벽,,,,이 책장은 반격 이외의 주사위가 없기 때문에 행동하지 않는다.
,,방어',5,10,,
,,방어',4,10,,
,,방어',4,9,,
고급,3,약점 파악,,,사용시,이 책장의 공격 주사위들의 속성은 대상의 내성이 가장 약한 속성 중 하나로 바뀐다
,,방어,6,9,,
,,참격,5,9,,
,,참격,5,9,,
보급,3,폐안,,,사용시,책장을 2장 뽑음
,,방어,6,9,,
,,방어,5,8,,
,,방어',3,8,,
고급,3,이문,,,전투 시작,이번 막 동안 화상에 의한 피해량이 10 감소한다.
,,,,,사용시,"자신에게 화상이 있다면 체력을 4 회복하고, 다음 막에 보호 2를 얻는다."
,,참격,5,9,적중,서로에게 화상 3 부여
,,방어,6,8,,
,,타격,5,9,적중,서로에게 화상 3 부여
한정,3,협공,,,사용시,"다른 무작위 아군 하나에게 보호 2, 흐트러짐 보호 2, 힘 1 부여"
,,타격,5,8,,
,,방어,5,9,,
,,관통,4,7,,
보급,3,맹목적인 신념,,,사용시,빛 1 회복. 이 책장의 모든 주사위 위력 -2.
,,방어,6,9,,
,,참격,6,10,,
,,참격,6,10,,
한정,3,약점 찌르기,,,,
,,방어,4,8,,
,,관통,9,21,합 승리,다음 막에 속박 1 부여
한정,3,마무리 일격,,,사용시,손에 있는 책장 수만큼 피해량 증가. 손에 있는 책장을 모두 버림
,,타격,6,7,,
,,방어,4,10,,
,,타격,8,21,합 승리,출혈 5 부여
예술,3,즉석 개조,,,일회성,
,,,,,사용시,손에 있는 모든 책장의 비용 1 감소
,,타격,7,12,,
예술,4,내장 쏟기,,,,대상의 출혈 수치만큼 피해량 증가
,,관통,5,8,,
,,타격,6,15,,
고급,4,타오르는 감정,,,사용시,감정 단계 2마다 이 책장의 모든 주사위 위력 +1
,,참격,7,11,적중,화상 1 부여'를 2번 발동
,,타격,6,11,적중,화상 1 부여'를 2번 발동
,,참격',3,8,,
한정,5,연속 절단,,,,이 책장의 비용은 손에 있는 다른 '연속 절단'의 수만큼 감소한다.
,,참격,4,10, , 
,,참격,4,9,,
,,관통,4,9,,
,,방어,6,10,,
VII 불순물,,,,,,
보급,0,진군,,,사용시,빛 1 회복
,,타격,3,6,,
,,참격,2,5,,
보급,0,가다듬기,,,사용시,"책장을 무작위로 1장 버리고, 다음 막 시작에 책장을 2장 뽑는다."
,,관통,3,8,,
고급,1,신속,,,사용시,다음 막에 신속 1을 얻음. 속도가 7 이상이면 이 책장의 모든 주사위 위력 +1
,,참격,3,8,,
,,관통,3,7,,
보급,1,수상한 계약서,,,,이 책장을 버리면 빛을 1 회복한다.
,,방어,3,5,,
,,방어,3,4,,
,,방어,2,4,,
고급,1,결속: 강화,,,결속 책장,
,,,,,전투 시작,이번 막 동안 다른 모든 아군들에게 '결속 책장을 사용하는 동안 모든 주사위의 위력 1 증가(중복 불가)' 를 부여
,,타격,3,8,,
,,참격,3,7,,
고급,1,시식,,,사용시,빛 2 회복
,,관통,3,8,적중,저항이 2 이하라면 저항 1을 얻음
보급,2,잔상,,,전투 시작,자신에게 걸려 있는 상태이상의 수치가 절반으로 감소 (소수점 이하 올림)
,,회피,4,10, , 
,,관통,5,9,,
고급,2,대치,,,사용시,모든 아군에게 다음 막에 보호 1 부여
,,방어,3,6,,
,,관통,5,8,적중,흐트러짐 저항 3 회복
,,참격,3,7,,
고급,2,재료 다지기,,,,
,,참격,5,8,적중,다음 막에 출혈 3 부여
,,타격,4,8,적중,다음 막에 출혈 2 부여
예술,2,즐겁게 놀아봅시다~,,,사용시,빛 4 회복
,,방어,4,7,,
,,관통,3,8,,
보급,2,끄그극,,,,
,,방어,4,5,,
,,타격,5,8,,
,,타격,5,6,,
보급,2,붉은 손톱,,,,
,,타격,4,7,적중,체력 2 회복
,,참격,3,8,적중,체력 2 회복
,,참격,3,7,적중,체력 2 회복
한정,2,닭의 괴성,,,전투 시작,무작위 아군 2명에게 힘 1 부여
,,참격,4,7,,
,,방어,3,6,,
,,타격,3,7,,
한정,2,결속: 연계,,,결속 책장,
,,,,,전투 시작,이번 막 동안 다른 모든 아군들에게 '결속 책장을 사용할 때 그 책장에 참격 주사위(4-8)을 추가(중복 불가)' 를 부여
,,관통,5,8,,
,,참격,4,8,,
한정,2,결속: 수호,,,결속 책장,
,,,,,전투 시작,이번 막 동안 다른 모든 아군들에게 '결속 책장을 사용할 때 그 책장에 방어 주사위(6-9)를 앞에 추가(중복 불가)' 를 부여
,,방어,6,9,,
,,관통,5,8,,
한정,3,합,,,,
,,방어,7,10,합 승리,자신의 다음 주사위 최대값 +3
,,타격,6,8,합 승리,자신의 다음 주사위 최대값 +3
,,참격,5,8,,
고급,3,괘각,,,사용시,다음 막에 힘 1을 얻음
,,타격,7,12,적중,다음 막에 힘 2를 얻음
,,방어,6,8,,
고급,3,하늘의 창,,,사용시,책장을 1장 뽑음
,,관통,9,20,적중,대상에게 피해 5
,,방어',4,8,,
고급,3,강격,,,사용시,빛 1 회복
,,참격,5,9,,
,,타격,4,8,,
,,방어,4,8,,
예술,3,합창,,,전투 시작,"다른 모든 아군에게 힘 1 부여, 그 후에 이 능력을 잃는다."
,,참격,5,9,,
,,타격,5,9,,
,,타격,5,9,,
예술,3,다시 타오르는 일격,,,,필립 전용 전투 책장
,,,,,사용시,비용이 1 이상인 자신의 무작위 '타오르는 일격' 책장 1장의 비용이 1 감소. 자신에게 화상 2 부여
,,관통,11,22,적중,화상 6 부여
,,방어,4,5,,
예술,4,최후의 공격,,,사용시,모든 책장을 버린다. 이 책장의 모든 주사위의 위력 +2
,,참격,5,9,,
,,관통,5,9,,
,,타격,5,8,,
,,타격',4,7,,
한정,4,멈추지 않는 톱니,,,사용시,연기 7을 얻음
,,참격,7,10,적중,연기 4 부여
,,참격,7,10,적중,연기 3 부여
,,방어,4,5,,
한정,4,개막식,,,사용시,책장을 1장 뽑음. 빛 1 회복. 다음 막 동안 모든 책장의 비용 1 감소
,,방어,6,10,,
,,방어,6,9,,
,,방어,5,9,,
한정,5,괘격,,,,
,,참격,7,10,,
,,방어,6,10,,
,,타격,6,10,,
,,관통,6,9,,
,,회피,5,9,,
고급,5,과속,,,사용시,"자신의 속도가 대상의 속도보다 높다면, 이 책장의 모든 주사위 위력 +6"
,,방어,3,7,,
,,타격,3,6,적중,다음 막에 신속 1을 얻음
,,타격,3,6,적중,다음 막에 신속 1을 얻음
한정,7,그림자 습격,,,,"이 책장이 손에 있으면, 상대의 공격 주사위와의 합에서 패배할 때마다 이 책장의 비용 1 감소."
,,,,,전투 시작,이번 막 동안 모든 공격 주사위의 위력 +1
,,,,,사용시,책장을 1장 뽑음
,,참격,4,8,,
,,관통,3,8,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
